"Category";"Bruttonasjonalprodukt"
"1973";32805
"1974";37734
"1975";42884
"1976";48711
"1977";54652
"1978";60091
"1979";66069
"1980";77902
"1981";89034
"1982";98261
"1983";108917
"1984";122337
"1985";135436
"1986";139636
"1987";151634
"1988";157759
"1989";167649
"1990";176792
"1991";185391
"1992";189691
"1993";198377
"1994";206900
"1995";220945
"1996";240719
"1997";259092
"1998";262482
"1999";283665
"2000";335626
"2001";346565
"2002";343978
"2003";354965
"2004";388296
"2005";430427
"2006";475535
"2007";499065
"2008";546765
"2009";502924
"2010";530036
"2011";563827
"2012";590617
"2013";604552
"2014";611359
"2015";599467
"2016";591684
"2017";624484
"2018";664706
"2019";663693
